,R_0,R_hsb,R_s,R_q,Abs_Benefit,Rel_Benefit,NNQ,obs_to_iso_q,Abs_Benefit_per_Qday,ks,d_inf,pi_t_triangle_center,T_lat_offset,dispersion,Setting,disease,Rel_Benefit_per_Qday,R0_Rs,R0_Rq
1,2.399,1.162,0.57,0.486,0.084,0.147,11.908,7.751,0.011,0.063,10,0,1.021,1,HR,Ebola,0.019,1.828,1.912
2,4.498,2.743,1.571,1.092,0.479,0.305,2.086,7.104,0.067,0.067,11.432,0.14,0.258,1,HR,Ebola,0.043,2.927,3.406
3,1.669,0.774,0.378,0.374,0.005,0.012,220.26,7.904,0.001,0.058,10.421,0.076,0.842,1,HR,Ebola,0.002,1.291,1.295
4,3.867,2.029,1.084,0.881,0.203,0.187,4.922,7.43,0.027,0.057,10.116,0.345,0.347,1,HR,Ebola,0.025,2.783,2.986
5,4.038,2.309,1.337,0.77,0.567,0.424,1.765,7.41,0.076,0.057,10.866,0.266,0.205,1,HR,Ebola,0.057,2.701,3.268
6,4.831,3.179,2.143,1.09,1.053,0.491,1,7.198,0.146,0.072,11.302,0.065,0.067,1,HR,Ebola,0.068,2.688,3.741
7,4.385,2.728,1.541,1.155,0.386,0.251,2.591,6.471,0.06,0.059,13.1,0.108,0.214,1,HR,Ebola,0.039,2.845,3.231
8,2.75,1.14,0.539,0.517,0.022,0.041,45.489,7.128,0.003,0.086,10.075,0,1.453,1,HR,Ebola,0.006,2.211,2.233
9,4.006,2.355,1.28,0.901,0.379,0.296,2.64,7.204,0.053,0.075,10.676,0.023,0.563,1,HR,Ebola,0.041,2.726,3.105
10,1.417,0.92,0.525,0.277,0.249,0.473,4.022,6.536,0.038,0.07,13.11,0.086,0.312,1,HR,Ebola,0.072,0.891,1.14
11,3.171,1.999,1.217,0.811,0.406,0.334,2.461,6.535,0.062,0.067,13.91,0.127,0.041,1,HR,Ebola,0.051,1.954,2.36
12,3.738,1.635,0.83,0.75,0.08,0.097,12.479,7.58,0.011,0.068,10.064,0.19,1.081,1,HR,Ebola,0.013,2.908,2.988
13,2.712,1.458,0.789,0.63,0.159,0.201,6.288,7.144,0.022,0.076,11.051,0.192,0.478,1,HR,Ebola,0.028,1.923,2.082
14,1.816,1.135,0.732,0.396,0.336,0.459,2.974,7.182,0.047,0.064,13.968,0.082,0.213,1,HR,Ebola,0.064,1.084,1.42
15,3.816,2.373,1.212,0.93,0.282,0.233,3.548,7.093,0.04,0.073,13.789,0.116,0.378,1,HR,Ebola,0.033,2.604,2.886
16,1.235,0.817,0.397,0.299,0.098,0.247,10.208,7.546,0.013,0.071,13.754,0.089,0.283,1,HR,Ebola,0.033,0.838,0.936
17,1.989,1.217,0.711,0.482,0.23,0.323,4.35,7.077,0.032,0.047,11.559,0,0.544,1,HR,Ebola,0.046,1.278,1.507
18,2.769,1.526,0.758,0.649,0.109,0.144,9.192,6.481,0.017,0.076,11.458,0.124,0.573,1,HR,Ebola,0.022,2.011,2.12
19,4.99,2.968,1.555,1.149,0.406,0.261,2.463,6.904,0.059,0.053,12.569,0.098,0.41,1,HR,Ebola,0.038,3.434,3.84
20,4.303,2.662,1.531,1.063,0.469,0.306,2.134,6.605,0.071,0.072,15.185,0,0.437,1,HR,Ebola,0.046,2.772,3.24
21,3.277,1.813,0.889,0.712,0.176,0.199,5.669,6.868,0.026,0.07,12.028,0.24,0.463,1,HR,Ebola,0.029,2.388,2.565
22,1.632,1.056,0.648,0.391,0.257,0.396,3.896,7.086,0.036,0.076,14.862,0.013,0.352,1,HR,Ebola,0.056,0.983,1.24
23,2.131,1.196,0.638,0.453,0.185,0.29,5.416,7.069,0.026,0.072,10.732,0.224,0.431,1,HR,Ebola,0.041,1.493,1.678
24,4.433,2.778,1.552,0.967,0.585,0.377,1.71,7.117,0.082,0.075,12.694,0.171,0.118,1,HR,Ebola,0.053,2.881,3.466
25,4.733,3.071,1.821,1.187,0.635,0.348,1.576,6.676,0.095,0.054,14.482,0.065,0.246,1,HR,Ebola,0.052,2.911,3.546
26,4.606,2.987,1.599,1.12,0.479,0.299,2.089,6.807,0.07,0.072,14.462,0.208,0.058,1,HR,Ebola,0.044,3.007,3.486
27,4.142,1.841,0.937,0.828,0.108,0.116,9.224,7.419,0.015,0.066,10.6,0.106,1.095,1,HR,Ebola,0.016,3.205,3.314
28,4.701,2.731,1.561,1.017,0.545,0.349,1.836,7.565,0.072,0.073,11.971,0.257,0.172,1,HR,Ebola,0.046,3.14,3.685
29,4.288,2.237,0.989,0.939,0.05,0.051,19.896,6.974,0.007,0.086,11.739,0.091,0.836,1,HR,Ebola,0.007,3.299,3.349
30,2.578,1.669,0.987,0.664,0.323,0.327,3.099,6.435,0.05,0.092,17.422,0.087,0.022,1,HR,Ebola,0.051,1.591,1.914
31,4.742,2.725,1.369,1.156,0.213,0.156,4.688,6.696,0.032,0.071,14.204,0.059,0.567,1,HR,Ebola,0.023,3.373,3.586
32,2.371,1.405,0.75,0.513,0.236,0.315,4.232,7.287,0.032,0.062,13.112,0.366,0,1,HR,Ebola,0.043,1.621,1.857
33,1.278,0.869,0.579,0.297,0.282,0.488,3.54,6.419,0.044,0.071,15.301,0,0.125,1,HR,Ebola,0.076,0.699,0.981
34,1.829,1.161,0.67,0.43,0.24,0.358,4.166,7.012,0.034,0.059,12.439,0.113,0.16,1,HR,Ebola,0.051,1.158,1.398
35,3.123,1.79,0.9,0.704,0.196,0.218,5.095,7.142,0.027,0.084,12.295,0.26,0.334,1,HR,Ebola,0.031,2.223,2.419
36,4.555,2.417,1.199,1.013,0.187,0.156,5.353,7.021,0.027,0.063,10.234,0.143,0.628,1,HR,Ebola,0.022,3.356,3.543
37,2.557,1.785,1.038,0.692,0.346,0.334,2.888,6.14,0.056,0.064,16.589,0.074,0,1,HR,Ebola,0.054,1.519,1.866
38,1.816,0.992,0.424,0.408,0.016,0.037,63.143,7.587,0.002,0.093,12.165,0.041,1.001,1,HR,Ebola,0.005,1.392,1.408
39,4.696,2.935,1.665,1.149,0.515,0.31,1.94,6.682,0.077,0.097,14.511,0.141,0.19,1,HR,Ebola,0.046,3.032,3.547
40,3.42,1.937,1.103,0.789,0.314,0.285,3.187,6.945,0.045,0.07,10.52,0.084,0.506,1,HR,Ebola,0.041,2.317,2.631
41,2.756,1.384,0.762,0.587,0.175,0.229,5.725,7.676,0.023,0.076,11.033,0.249,0.548,1,HR,Ebola,0.03,1.995,2.169
42,4.599,2.75,1.483,1.044,0.44,0.296,2.274,7.368,0.06,0.077,10.02,0.152,0.393,1,HR,Ebola,0.04,3.116,3.555
43,3.748,1.915,0.955,0.794,0.161,0.168,6.219,7.643,0.021,0.082,10.747,0.129,0.739,1,HR,Ebola,0.022,2.793,2.954
44,3.778,2.273,1.409,0.894,0.515,0.365,1.943,7.028,0.073,0.048,11.812,0.089,0.277,1,HR,Ebola,0.052,2.369,2.884
45,2.632,1.513,0.73,0.557,0.173,0.237,5.787,7.595,0.023,0.061,10.067,0.288,0.328,1,HR,Ebola,0.031,1.902,2.075
46,2.124,1.173,0.638,0.531,0.107,0.168,9.312,6.826,0.016,0.068,11.07,0.214,0.456,1,HR,Ebola,0.025,1.485,1.593
47,4.265,2.072,0.938,0.928,0.01,0.01,103.842,6.729,0.001,0.089,11.118,0,0.936,1,HR,Ebola,0.002,3.327,3.336
48,2.415,1.243,0.659,0.477,0.182,0.276,5.489,7.155,0.025,0.072,11.68,0.233,0.64,1,HR,Ebola,0.039,1.755,1.937
49,3.011,1.974,1.327,0.726,0.601,0.453,1.664,7.007,0.086,0.077,10.947,0.116,0.02,1,HR,Ebola,0.065,1.684,2.285
50,2.16,1.329,0.703,0.528,0.175,0.249,5.709,7.816,0.022,0.069,11.63,0.16,0.13,1,HR,Ebola,0.032,1.458,1.633
51,1.206,0.656,0.26,0.282,-0.022,-0.085,1,7.576,-0.003,0.068,10.272,0.264,0.571,1,HR,Ebola,-0.011,0.946,0.924
52,1.244,0.8,0.484,0.349,0.135,0.28,7.393,6.018,0.022,0.053,13.712,0.043,0.185,1,HR,Ebola,0.046,0.76,0.895
